description,iSIC_code,naf_code
Retail sale of music and video recordings in specialized stores,4762,47.63
Retail sale of sporting equipment in specialized stores,4763,47.64
Retail sale of games and toys in specialized stores,4764,47.65
Retail sale of other goods in specialized stores,477,47.7
"Retail sale of clothing, footwear and leather articles in specialized stores",4771,47.71
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.73
Other retail sale of new goods in specialized stores,4773,47.78
Retail sale of second-hand goods,4774,47.79
Retail sale via stalls and markets,478,47.8
"Retail sale via stalls and markets of food, beverages and tobacco products",4781,47.81
"Retail sale via stalls and markets of textiles, clothing and footwear",4782,47.82
Retail sale via stalls and markets of other goods,4789,47.89
"Retail trade not in stores, stalls or markets",479,47.9
Retail sale via mail order houses or via Internet,4791,47.91
"Other retail sale not in stores, stalls or markets",4799,47.99
Land transport and transport via pipelines,49,49
Transport via railways,491,49.1
"Passenger rail transport, interurban",4911,49.10
Freight rail transport,4912,49.20
Other land transport,492,49.3
Urban and suburban passenger land transport,4921,49.31
Other passenger land transport,4922,49.39
Freight transport by road,4923,49.41
Transport via pipeline,493,49.5
Transport via pipeline,4930,49.50
Water transport,50,50
Sea and coastal water transport,501,50.1
Sea and coastal passenger water transport,5011,50.10
Sea and coastal freight water transport,5012,50.20
Inland water transport,502,50.3
Inland passenger water transport,5021,50.30
Inland freight water transport,5022,50.40
Air transport,51,51
Passenger air transport,511,51.1
Passenger air transport,5110,51.10
Freight air transport,512,51.2
Freight air transport,5120,51.21
Warehousing and support activities for transportation,52,52
Warehousing and storage,521,52.1
Warehousing and storage,5210,52.10
Support activities for transportation,522,52.2
Service activities incidental to land transportation,5221,52.21
Service activities incidental to water transportation,5222,52.22
Service activities incidental to air transportation,5223,52.23
Cargo handling,5224,52.24
Other transportation support activities,5229,52.29
Postal and courier activities,53,53
Postal activities,531,53.1
Postal activities,5310,53.10
Courier activities,532,53.2
Courier activities,5320,53.20
Accommodation,55,55
Short term accommodation activities,551,55.1
Short term accommodation activities,5510,55.10
"Camping grounds, recreational vehicle parks and trailer parks",552,55.3
"Camping grounds, recreational vehicle parks and trailer parks",5520,55.30
Other accommodation,559,55.9
Other accommodation,5590,55.90
Food and beverage service activities,56,56
Restaurants and mobile food service activities,561,56.1
Restaurants and mobile food service activities,5610,56.10
Event catering and other food service activities,562,56.2
Event catering,5621,56.21
Other food service activities,5629,56.29
Beverage serving activities,563,56.3
Beverage serving activities,5630,56.30
Publishing activities,58,58
"Publishing of books, periodicals and other publishing activities",581,58.1
Book publishing,5811,58.11
Publishing of directories and mailing lists,5812,58.12
"Publishing of newspapers, journals and periodicals",5813,58.13
Other publishing activities,5819,58.19
Software publishing,582,58.2
Software publishing,5820,58.21
"Motion picture, video and television programme production, sound recording and music publishing activities",59,59
"Motion picture, video and television programme activities",591,59.1
"Motion picture, video and television programme production activities",5911,59.11
"Motion picture, video and television programme post-production activities",5912,59.12
"Motion picture, video and television programme distribution activities",5913,59.13
Motion picture projection activities,5914,59.14
Sound recording and music publishing activities,592,59.2
Sound recording and music publishing activities,5920,59.20
Programming and broadcasting activities,60,60
Radio broadcasting,601,60.1
Radio broadcasting,6010,60.10
Television programming and broadcasting activities,602,60.2
Television programming and broadcasting activities,6020,60.20
Telecommunications,61,61
Wired telecommunications activities,611,61.1
Wired telecommunications activities,6110,61.10
Wireless telecommunications activities,612,61.2
Wireless telecommunications activities,6120,61.20
Satellite telecommunications activities,613,61.3
Satellite telecommunications activities,6130,61.30
Other telecommunications activities,619,61.9
Other telecommunications activities,6190,61.90
"Computer programming, consultancy and related activities",62,62
"Computer programming, consultancy and related activities",620,62.0
Computer programming activities,6201,62.01
Computer consultancy and computer facilities management activities,6202,62.02
Other information technology and computer service activities,6209,62.09
Information service activities,63,63
"Data processing, hosting and related activities; web portals",631,63.1
"Data processing, hosting and related activities",6311,63.11
Web portals,6312,63.12
Other information service activities,639,63.99
News agency activities,6391,63.91
Other information service activities n.e.c.,6399,63.99
"Financial service activities, except insurance and pension funding",64,64
Monetary intermediation,641,64.1
Central banking,6411,64.11
Other monetary intermediation,6419,64.19
Activities of holding companies,642,64.2
Activities of holding companies,6420,64.20
"Trusts, funds and similar financial entities",643,64.3
"Trusts, funds and similar financial entities",6430,64.30
"Other financial service activities, except insurance and pension funding activities",649,64.9
Financial leasing,6491,64.91
Other credit granting,6492,64.92
"Other financial service activities, except insurance and pension funding activities, n.e.c.",6499,64.99
"Insurance, reinsurance and pension funding, except compulsory social security",65,65
Insurance,651,65.1
Life insurance,6511,65.11
Non-life insurance,6512,65.12
Reinsurance,652,65.2
Reinsurance,6520,65.20
Pension funding,653,65.3
Pension funding,6530,65.30
Activities auxiliary to financial service and insurance activities,66,66
"Activities auxiliary to financial service activities, except insurance and pension funding",661,66.1
Administration of financial markets,6611,66.11
Security and commodity contracts brokerage,6612,66.12
Other activities auxiliary to financial service activities,6619,66.19
Activities auxiliary to insurance and pension funding,662,66.2
Risk and damage evaluation,6621,66.21
Activities of insurance agents and brokers,6622,66.22
Other activities auxiliary to insurance and pension funding,6629,66.29
Fund management activities,663,66.3
Fund management activities,6630,66.30
Real estate activities,68,68
Real estate activities with own or leased property,681,68.1
Real estate activities with own or leased property,6810,68.10
Real estate activities on a fee or contract basis,682,68.3
Real estate activities on a fee or contract basis,6820,68.31
Legal and accounting activities,69,69
Legal activities,691,69.1
Legal activities,6910,69.10
"Accounting, bookkeeping and auditing activities; tax consultancy",692,69.2
"Accounting, bookkeeping and auditing activities; tax consultancy",6920,69.20
Activities of head offices; management consultancy activities,70,70
Activities of head offices,701,70.1
Activities of head offices,7010,70.10
Management consultancy activities,702,70.2
Management consultancy activities,7020,70.21
Architectural and engineering activities; technical testing and analysis,71,71
Architectural and engineering activities and related technical consultancy,711,71.1
Architectural and engineering activities and related technical consultancy,7110,71.11
Technical testing and analysis,712,71.2
Technical testing and analysis,7120,71.20
Scientific research and development,72,72
Research and experimental development on natural sciences and engineering,721,72.1
Research and experimental development on natural sciences and engineering,7210,72.11
Research and experimental development on social sciences and humanities,722,72.2
Research and experimental development on social sciences and humanities,7220,72.20
Advertising and market research,73,73
Advertising,731,73.1
Advertising,7310,73.11
Market research and public opinion polling,732,73.2
Market research and public opinion polling,7320,73.20
"Other professional, scientific and technical activities",74,74.90
Specialized design activities,741,74.1
Specialized design activities,7410,74.10
Photographic activities,742,74.2
Photographic activities,7420,74.20
"Other professional, scientific and technical activities n.e.c.",749,74.9
"Other professional, scientific and technical activities n.e.c.",7490,74.90
Veterinary activities,75,75
Veterinary activities,750,75.0
Veterinary activities,7500,75.00
Rental and leasing activities,77,77
Renting and leasing of motor vehicles,771,77.1
Renting and leasing of motor vehicles,7710,77.11
Renting and leasing of personal and household goods,772,77.2
Renting and leasing of recreational and sports goods,7721,77.21
Renting of video tapes and disks,7722,77.22
Renting and leasing of other personal and household goods,7729,77.29
"Renting and leasing of other machinery, equipment and tangible goods",773,77.3
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.39
"Leasing of intellectual property and similar products, except copyrighted works",774,77.4
"Leasing of intellectual property and similar products, except copyrighted works",7740,77.40
Employment activities,78,78
Activities of employment placement agencies,781,78.1
Activities of employment placement agencies,7810,78.10
Temporary employment agency activities,782,78.2
Temporary employment agency activities,7820,78.20
Other human resources provision,783,78.3
Other human resources provision,7830,78.30
"Travel agency, tour operator, reservation service and related activities",79,79
Travel agency and tour operator activities,791,79.1
Travel agency activities,7911,79.11
Tour operator activities,7912,79.12
Other reservation service and related activities,799,79.9
Other reservation service and related activities,7990,79.90
Security and investigation activities,80,80
Private security activities,801,80.1
Private security activities,8010,80.10
Security systems service activities,802,80.2
Security systems service activities,8020,80.20
Investigation activities,803,80.3
Investigation activities,8030,80.30
Services to buildings and landscape activities,81,81
Combined facilities support activities,811,81.1
Combined facilities support activities,8110,81.10
Cleaning activities,812,81.2
General cleaning of buildings,8121,81.21
Other building and industrial cleaning activities,8129,81.22
Landscape care and maintenance service activities,813,81.3
Landscape care and maintenance service activities,8130,81.30
"Office administrative, office support and other business support activities",82,82
Office administrative and support activities,821,82.1
Combined office administrative service activities,8211,82.11
"Photocopying, document preparation and other specialized office support activities",8219,82.19
Activities of call centres,822,82.2
Activities of call centres,8220,82.20
Organization of conventions and trade shows,823,82.3
Organization of conventions and trade shows,8230,82.30
Business support service activities n.e.c.,829,82.9
Activities of collection agencies and credit bureaus,8291,82.91
Packaging activities,8292,82.92
Other business support service activities n.e.c.,8299,82.99
Public administration and defence; compulsory social security,84,84
Administration of the State and the economic and social policy of the community,841,84.1
General public administration activities,8411,84.11
"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",8412,84.12
Regulation of and contribution to more efficient operation of businesses,8413,84.13
Provision of services to the community as a whole,842,84.2
Foreign affairs,8421,84.21
Defence activities,8422,84.22
Public order and safety activities,8423,84.24
Compulsory social security activities,843,84.3
Compulsory social security activities,8430,84.30
Education,85,85.60
Pre-primary and primary education,851,85.1
Pre-primary and primary education,8510,85.10
Secondary education,852,85.3
General secondary education,8521,85.31
Technical and vocational secondary education,8522,85.32
Higher education,853,85.4
Higher education,8530,85.41
Other education,854,85.59
Sports and recreation education,8541,85.51
Cultural education,8542,85.52
Other education n.e.c.,8549,85.59
Educational support activities,855,85.6
Educational support activities,8550,85.60
Human health activities,86,86
Hospital activities,861,86.1
Hospital activities,8610,86.10
Medical and dental practice activities,862,86.2
Medical and dental practice activities,8620,86.21
Other human health activities,869,86.9
Other human health activities,8690,86.90
Residential care activities,87,87
Residential nursing care facilities,871,87.1
Residential nursing care facilities,8710,87.10
